date	close	volume	open	high	low
2016-05-05	0.2106	0	0.2106	0.2106	0.2106
2016-05-04	0.2106	0	0.2106	0.2106	0.2106
2016-05-03	0.2106	50	0.2106	0.2106	0.2106
2016-05-02	0.1938	0	0.1938	0.1938	0.1938
2016-04-29	0.1938	22500	0.1938	0.1938	0.1938
2016-04-28	0.2628	22640	0.2628	0.2628	0.2628
2016-04-27	0.24	0	0.24	0.24	0.24
2016-04-26	0.24	0	0.24	0.24	0.24
2016-04-25	0.24	0	0.24	0.24	0.24
2016-04-22	0.24	0	0.24	0.24	0.24
2016-04-21	0.24	28834	0.24	0.24	0.24
2016-04-20	0.24	0	0.24	0.24	0.24
2016-04-19	0.24	0	0.24	0.24	0.24
2016-04-18	0.24	0	0.24	0.24	0.24
2016-04-15	0.24	0	0.24	0.24	0.24
2016-04-14	0.24	0	0.24	0.24	0.24
2016-04-13	0.24	7500	0.24	0.24	0.24
2016-04-12	0.2406	30001	0.2406	0.2406	0.24
2016-04-11	0.1974	0	0.1974	0.1974	0.1974
2016-04-08	0.1974	0	0.1974	0.1974	0.1974
2016-04-07	0.1974	0	0.1974	0.1974	0.1974
2016-04-06	0.1974	0	0.1974	0.1974	0.1974
2016-04-05	0.1974	0	0.1974	0.1974	0.1974
2016-04-04	0.1974	0	0.1974	0.1974	0.1974
2016-04-01	0.1974	0	0.1974	0.1974	0.1974
2016-03-31	0.1974	83335	0.1974	0.1974	0.1974
2016-03-30	0.21	17500	0.21	0.21	0.21
2016-03-29	0.204	26334	0.204	0.204	0.204
2016-03-28	0.1962	0	0.1962	0.1962	0.1962
2016-03-24	0.1962	33	0.1962	0.1962	0.1962
2016-03-23	0.234	0	0.234	0.234	0.234
2016-03-22	0.234	10193	0.234	0.234	0.234
2016-03-21	0.252	6500	0.252	0.252	0.252
2016-03-18	0.207	583	0.207	0.207	0.207
2016-03-17	0.1836	0	0.1836	0.1836	0.1836
2016-03-16	0.1836	0	0.1836	0.1836	0.1836
2016-03-15	0.1836	0	0.1836	0.1836	0.1836
2016-03-14	0.1836	0	0.1836	0.1836	0.1836
2016-03-11	0.1836	3926	0.1836	0.1836	0.1836
2016-03-10	0.213	0	0.213	0.213	0.213
2016-03-09	0.213	0	0.213	0.213	0.213
2016-03-08	0.213	0	0.213	0.213	0.213
2016-03-07	0.213	0	0.213	0.213	0.213
2016-03-04	0.213	0	0.213	0.213	0.213
2016-03-03	0.213	11667	0.213	0.213	0.213
2016-03-02	0.1794	5574	0.1794	0.1794	0.1794
2016-03-01	0.1764	0	0.1764	0.1764	0.1764
2016-02-29	0.1764	0	0.1764	0.1764	0.1764
2016-02-26	0.1764	0	0.1764	0.1764	0.1764
2016-02-25	0.1764	0	0.1764	0.1764	0.1764
2016-02-24	0.1764	0	0.1764	0.1764	0.1764
2016-02-23	0.1764	0	0.1764	0.1764	0.1764
2016-02-22	0.1764	2537	0.1752	0.1764	0.1752
2016-02-19	0.1548	0	0.1548	0.1548	0.1548
2016-02-18	0.1548	8687	0.204	0.204	0.1548
2016-02-17	0.1842	0	0.1842	0.1842	0.1842
2016-02-16	0.1842	0	0.1842	0.1842	0.1842
2016-02-12	0.1842	0	0.1842	0.1842	0.1842
2016-02-11	0.1842	0	0.1842	0.1842	0.1842
2016-02-10	0.1842	0	0.1842	0.1842	0.1842
2016-02-09	0.1842	0	0.1842	0.1842	0.1842
2016-02-08	0.1842	583	0.1842	0.1842	0.1842
2016-02-05	0.1908	0	0.1908	0.1908	0.1908
2016-02-04	0.1908	0	0.1908	0.1908	0.1908
2016-02-03	0.1908	0	0.1908	0.1908	0.1908
2016-02-02	0.1908	0	0.1908	0.1908	0.1908
2016-02-01	0.1908	0	0.1908	0.1908	0.1908
2016-01-29	0.1908	0	0.1908	0.1908	0.1908
2016-01-28	0.1908	1667	0.1908	0.1908	0.1908
2016-01-27	0.183	0	0.183	0.183	0.183
2016-01-26	0.183	0	0.183	0.183	0.183
